Key,Context,Example,Source,es-es,pt-br,Источник
,,,1x Spin,1x Giro,1x Giro,1х Крутить
,,,3x Spin,3x Giros,3x Giros,3х Крутить
,,,A Gift has spawned! Would you like to teleport to the christmas portal?,Un regalo a aparecido! Te gustaria teletransportate al mapa de navidad?,Um present apareceu! Você gostaria de teletransportar para o Portal de Natal?,Подарок появился! Хотите телепортироваться на рождественский портал?
,,,Azroxl:            | Builder |,Azroxl:               | Constructor |,Azroxl:                | Construtor |,Azroxl:            | Создатель |
,,,Back,Atrás,Voltar,Назад
,,,Boost: {number1},Boost: {number1},Boost: {number1},Буст: {number1}
,,,Buy,Comprar,Comprar,Купить
,,,Buy Crystalline Pets!,Compra las mascotas de Cristal!,Compre as Mascotes de Cristal!,Покупайте кристальных питомцев!
,,,Buy Crystalline Shovels!,Compra las Palas de Cristal!,Compre as Pás de Cristal!,Покупайте кристалльные лопаты!
,,,Buy Farmyard Pets!,Compra las Mascotas de Granja!,Compre as Mascotes da Fazenda!,Покупайте фермерских петов!
,,,Buy Farmyard Shovels!,Compra las Palas de Granja!,Compre as Pás da Fazenda!,Покупайте фермерские лопаты!
,,,Buy Icelandic Pets!,Compra las Palas de Invierno!,Compre as Pás de Inverno!,Покупайте ледяных питомцев!
,,,Buy Icelandic Shovels!,Compra las Mascotas de Invierno!,Compre as Mascotes de Inverno!,Покупайте ледяные лопаты!
,,,Buy Knightly Pets!,Compra las Mascotas del Castillo!,Compre as Mascotes do Castelo!,Покупайте рыцарских питомцев!
,,,Buy Knightly Shovels!,Compra las Palas del Castillo!,Compre as Pás do Castelo!,Покупайте рыцарские лопаты!
,,,Buy Oceanic Pets!,Compra las Mascotas Oceánicas!,Compra as Mascotes Oceânicas!,Покупайте водяных питомцев!
,,,Buy Oceanic Shovels!,Compra las Palas Oceánicas!,Compre as Pás Oceânicas!,Покупайте водяные лопаты!
,,,Buy Starter Pets!,Compra las mascotas Iniciales!,Compre as Mascotes Iniciais!,Купить Стартовых Петов
,,,Buy Starter Shovels!,Compra las Palas Iniciales!,Compre as Pás Iniciais!,Купить Стартовую Лопату!
,,,CONFIRMATION,Confirmación,CONFIRMAÇÃO,ПОДТВЕРЖДЕНИЕ
,,,CREDITS,CRÉDITOS,CRÉDITOS,кредиты
,,,Cannot purchase Shovel. Already own: {number1},No se puede comprar esta Pala. Ya tienes: {number1},Você não pode comprar essa pá. Já possui: {number1},Невозможно купить лопату.  Уже есть: {number1}
,,,Cannot purchase. You already own a shovel of higher quality.,No se puede comprar. Ya tienes una pala de mayor calidad.,Você não pode comprar esse item. Já possui uma pá de melhor qualidade.,Не могу купить.  У вас уже есть лопата более высокого качества.
,,,Christmas Event! Click or Tap to enter,Evento de Navidad! Has click o presiona para entrar,Evento de Natal! Clique ou toque para entrar,"Рождественское событие!  Нажмите или коснитесь, чтобы войти"
,,,Codes,Códigos,Códigos,Коды
